comment,cluster
"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",0
"Produto de muito boa qualidade, chegou antes do prazo prometido",3
"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",0
"Entrega muito rápida
Parabéns",1
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,2
"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",0
"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",1
Demorou de mais pra entrega ,1
super rapido a entrega .... chegou antes da data... ,3
A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,0
Não funciona não faz sincronismo,0
Recomendo a todos os clientes,1
Gostei ,1
OTIMA,1
"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",1
"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",0
EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2
"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",2
Sempre compro na lannister.Pra mim é a melhor loja on-line,2
Produto de qualidade excelente,1
Ótimo custo-benefício,1
OK,1
Gostei da atenção com a entrega,1
" Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",2
A peça não serviu,2
Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,0
"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",0
"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",0
"Entregou no prazo certo, fiquei feliz com a compra que fiz",0
Lindo relógio adorei,1
"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",4
Muito bom alta qualidade!,1
"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",1
Muito bom,1
Faltou 1 produto e os que recebi 1 veio quebrado,2
"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",3
aqui está descrevendo como entregue só que ate agora não recebi,4
"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",2
Ainda não tive a oportunidade de testar,0
Comecei a usar agora ,0
nada a declarar,0
"Comprar um produto correto na capa mas interno ser outro.???????
",2
entrega super rapida,1
"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",4
O produto chegou muito rapido e de boa qualidade recomendo o produto,1
"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",0
Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,4
Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,0
Recomendo,1
Atendeu minha expectativa.,1
Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,3
decepcionado,2
"otimo produto só nao veio manual, mas sem problemas.",2
"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",2
Excelente produto.,1
Tudo certo,1
"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",2
Produto muito bom,1
o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,0
produto deu defeito na 1 vez de uso.,2
super recomendo produto profissional de qualidade,1
até agora não recebi o produto.,4
 A loja anuncia um produto e entrega outro.,1
muito bom e rapido quando vi ja tinha chegado,1
O produto chegou muito bem,3
otimo,1
"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",0
Muito satisfeito,1
parabéns para loja e revendedor apesar de ter demorado um pouco,2
"Entregue dentro do prazo, e com bom período de validade.",3
"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",2
produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),0
Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,0
"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2
"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",2
sempre comprei no stark e estou satisfeito.,1
fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,2
"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",4
produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,3
Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,3
Enviei 2 solicitações pelo site para trocar o endereço. Recebi a mensagem de que iam me ligar em 48h mas não ligaram.,4
"Tudo ok,o baratheon sempre responsável com a suas entregas.",1
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,1
E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,0
A,1
entrega rapida,1
foi bom,1
Mercadoria certa entregue no prazo combinado. Grata,3
", muito ruim ! ",2
Passou dos dias previstos.,3
Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,0
Entrega bem antes do prazo perfeito!!,3
Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,2
bem rapido a entrega e bom comprar com vcs,1
Produto não recomendo não ler em nenhum dispositivo,0
"Entrega super rápida, parabéns!",1
Tudo rápido e eficiente.,1
Creme maravilhoso e entrega super rápida,1
"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",4
"Chegou hoje 
sem comentários",0
"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",4
Muito bom! Aquilo que esperava!,1
A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2
No site o produto parece ter melhor qualidade de material e acabamento.,2
"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",1
"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2
Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,3
Recomendo.,1
Faltaram os cabos e o manual,2
ótimo chegou bem antes do prazo .,3
Entregue no prazo produto muito bom.,3
"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",0
Acho q deveriam mandar por sedex ao invés de pac,2
"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",4
Lindo... Só faltou instruções da troca de pulseiras.,2
"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",3
"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",3
"Não gostei do produto, material de péssima qualidade.",2
"Dos dois produtos comprados, foi entregue apenas um!",0
Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,0
Recebi corretamente o produto,1
"recebi o produto dentro do prazo informado, ainda não utilizei.",0
"O pedido chegou antes do combinado, muito bom.",3
produto entregue conforme anunciado.,1
recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,2
LOJA 10,1
"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",2
Nem fizeram a nota fiscal ,0
"Chegou antes do prazo!
Produto excelente!",3
trabalho com profissionalismo das lojas lannister. indico com certeza,1
"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",0
super recomendo o produto que é muito bom!,1
"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",2
" A loja postou o produto de e mediato o correio demorou um pouco
",2
"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",1
Muito bom desde da compra a entrega td direitinho e rapido,1
Tudo ok!,1
A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,4
Entrega e qualidade do produto de acordo com o esperado.,1
Excelente recomendo,1
"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
",1
"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",2
"muito bom, recomendo o produto.",1
quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,1
bom em todos os aspectos,1
Até hoje estou satisfeito com a sbmarino,0
Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,0
Gostei!,1
"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",2
Chegou antes do prazo é a cabeceira é linda.,3
"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",4
10,1
Gostei do produto chegou no tempo certo os vendedores estão de parabéns,1
Atendimento excelente,1
Gostei ,1
No dia 19 de maio usei e a à alça quebrou sem muito peso ,2
Toalha do maior campeão do Brasil maravilhosa ,2
"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",3
Até agora tudo bem estou esperando a entrega do produto,3
"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",1
"O produto foi entregue antes do prazo.
",3
"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",3
comprei o produto na cor preta e chegou na cor vermelha.,2
"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",3
"otimo
",1
Pensei que a mochila fosse um material mais resistente.,2
"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",4
o produto demora muita para chegar !,1
"So recebemos um relogio pelo correio

att
",0
"entrega rápida, produto conforme esperado",1
Tudo como anunciado....Ótimo produto...,1
"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",1
"Somente foi entregue uma unidade, ao invés de duas.",0
" adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",1
Muito satisfeito.,1
Otimo produto porem caro demais !!! ,2
"Produtos otimos, entrega rápida.
Super recomendo!!!",1
"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",2
Ainda não recebi,0
Tive um pós venda excelente através do Sr Renato,1
"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",2
Muito bom,1
"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",0
"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",1
Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,1
"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",1
"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",4
Loja Nota 10,1
Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,3
"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",0
Muito bom mesmo!,1
"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",0
Entrega antes do prazo produto muito bem conservado. ,3
Produto de ótima qualidade. Adorei!,1
"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",1
Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,0
"Não recebi o produto, assim como nenhum contato por parte do .vendedor",4
Nem ratrear estou conseguindo:(,0
nota 10,1
Esperando o instalador,1
"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",0
Ótimo serviço,1
"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",0
veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,0
"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",0
Perfeitos😁,1
"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",0
"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",2
"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",2
MUITO BOM! CHEGOU DENTRO DO PRAZO.,3
"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",3
"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",4
só poderia entregar mais rápido fim de ano ,1
"Otima Venda, tudo perfeito.",1
Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,3
"Veio bem embalado, Envio rápido! ",1
Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,3
"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",4
"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",2
Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,3
Indico a loja compro sempre na lannister .,1
"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",2
"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",1
Boa compra.,1
"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",1
Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,2
Comprei 02 só enviaram 01,0
"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",2
"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",4
Entrega e produto perfeito!,3
Parabéns 😤 pelo excelente atendimento de qualidade.,1
Produto entregue antecipadamente.,3
gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,3
"Super recomendo, stark Sempre chegando antes da dta prevista =D",3
Correios não entregou ,0
"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",3
ainda não recebi o produto,0
"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",4
"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",3
"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",0
O pedido chegou antes do prazo. Obrigada.,3
Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,4
"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",1
O tampo da mesa chegou todo amassado e batido.,1
Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,1
O relógio é lindo e a entrega foi muito rápida. Recomendo!,1
"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",2
"Como sempre, excelente serviço.",1
Até o momento eu n recebir o produto,0
Como sempre lannister entrega certinho,1
"Produto perfeito, chegou antes do prazo!",3
"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",1
Muito bom o produto e preço cobrado!,2
Sdds ,1
muito bom o produto.Recomendo,1
entrega dentro do prazo isso é importante. ,3
"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",2
"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",1
O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,0
No aguardo de um retorno urgente.,4
"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",4
Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. ,0
Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,1
Excelente produto indico a qualquer pessoa.,1
tudo certinho entrega no prazo ótimo.,3
Não recebi o produto.e agora?,4
Chegou amassado... ,1
Recomendo!,1
"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",0
Ótimo perfume. Fragrância maravilhosa. Recomendo,1
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,1
O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,1
entrega rapida,1
"Previsão de entrega até 18/10, recebi em 05/10, excelente.",3
"Cortina de plástico, na foto parece tecido desenho diferente cores morta apagadas, uma verdadeira porcaria, não recomendo ninguém compra decepção total ",2
SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,0
Loja em si é boa pena a americana nao da suporte ao cliente ,2
Exatamente o que eu precisava ,1
"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",2
"Obrigada, chegou mto rápido",1
O único problema é que a marcação de data é a marcação americana.,0
Acho que o produto deveria ter um prazo de validade maior.,2
"Entrega antes do prazo, recomendo essa loja.",3
show ,1
Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada ,0
"Excelente produto, bonito e sofisticado.",1
Não veio a nota fiscal,0
"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",1
Entrega rápida produto conforme anunciado,1
"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",4
A cortina não é o modelo que pedi. |,2
A impressão está saindo com a tinta fraquinha...,1
Comprei Rosa com Braços Brancos e entregam toda Preta ?,2
Preciso de uma previsão.,3
Estou muito satisfeita chegou antes do prazo super recomendo ,3
Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,3
"Entrega dentro do prazo, produto sem nenhum problema",3
bom,1
Boa qualidade e preço.,1
Sempre entrega antes do prazo.,3
muito bom.super recomendo.entrega sempre certa.,1
"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???",0
Entregue antes do prazo! Produto perfeito!,3
"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",0
Gostei de ter comprado nesta loja. Atendimento perfeito.,2
"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem.",2
Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,3
ENTREGA MUITO RAPIDA ,1
O produto foi entregue bem antes do prazo.adorei,3
Ainda nao instalei mais gostei muito,0
Bom produto. Entrega rápida. Recomendo,1
Produto recebido no prazo e em perfeitas condições.,3
muito bom,1
"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",4
"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates
",2
N/a,1
"O produto chegou como eu imaginava,por enquanto estou gostando
",1
Ótima rápida na entrega OBRIGADO ,1
Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,0
"Produto bom, prazo bom...",1
Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,0
Bonito e de boa qualidade. Adorei ,1
O produto chegou antes do prazo. ,3
"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",0
Vendedor compromisso do vou o cliente,2
"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem",0
Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,0
ótimo,1
Tudo cento e no prazo recomento,3
Não recebi o jogo na cor tabaco. Só o vermelho. ,2
"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",0
Compra perfeita. ,1
O produto veio estragado,1
"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",0
PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,0
"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas. ",2
Estou extremamente decepcionado. Isso nunca havia acontecido,0
COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,0
"Recomendo esta loja entrega direitinho
",1
"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",2
Entrega rapida e correta,1
Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,1
Produto veio com amassados e também não está funcionando corretamente.,2
Gostei do produto,1
Produto de ótima qualidade,1
Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,4
Estou aguardando posição da empresa para fazer a devolução do produto.,0
"O CEP foi escrito errado, tive que retirar o produto nos Correios da cidade vizinha.",2
fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,0
Recomendo está loja.,1
Ótimo produto. ,1
Excelente,1
"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",0
"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",2
"bom , foi o que esperava.",1
"Tudo correu como combinado, nada a reclamar.",0
"De fácil manuseio, até o presente atende as expectativas. ",1
Relógio lindo entrega antes do prazo,1
Veio conforme o anunciado simples mais bonita. ,1
Produto condiz com o anúncio ,1
O produto ainda não chegou,0
satisfeito eu recomendo,1
"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",1
Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,2
Ainda não recebi o produto...,0
"Recebi, a bolsa é diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo ",2
"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",3
"Na propaganda está escrito Mixer elétrico e veio um portátil que eu tenho três que quebrou por isso eu queria um elétrico, vocês devem especificar melhor os produtos ",2
Produto entregue antes do prazo combinado. Não é a primeira vez que compro pelo site Lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.,0
Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa ! ,0
Agradeço muito bom.,1
*******************,1
Dentro do previsto,3
Recebi antes do prazo estimado.,3
Só imaginei que fosse maior a boneca. Mais é legal ,2
"Tive problema na entrega, pois não tinha ninguém em casa para receber a mercadoria no horário que passaram.",4
"Atenciosos,ligam para dar acompanhamento. Bom prazo de validade. Demorou de chegar. Agora é verificar a qualidade do produto.",0
Muito eficiente entregou bem rápido eu recomendo,1
Muito lindo o Relógio!,1
Otimo produto e entrega no prazo,3
"Chegou antes da data do prazo, porem vazou um pouco do produto! ",3
"Sempre que compro com vocês meus itens chega em perfeito estado....
",1
Produto entregue antes do prazo em ótimo estado.,3
