comment,cluster
"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",0
"Somente foi entregue uma unidade, ao invés de duas.",3
" adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",0
Muito satisfeito.,0
Otimo produto porem caro demais !!! ,4
"Produtos otimos, entrega rápida.
Super recomendo!!!",0
"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",4
Ainda não recebi,3
Tive um pós venda excelente através do Sr Renato,0
"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",4
Muito bom,0
"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",3
"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",0
Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,0
"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",0
"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",1
Loja Nota 10,0
Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,2
"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",3
Muito bom mesmo!,0
"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",4
Entrega antes do prazo produto muito bem conservado. ,2
Produto de ótima qualidade. Adorei!,0
"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",0
Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,3
"Não recebi o produto, assim como nenhum contato por parte do .vendedor",1
Nem ratrear estou conseguindo:(,3
nota 10,0
Esperando o instalador,0
"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",3
Ótimo serviço,0
"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",3
veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,3
"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",3
Perfeitos😁,0
"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",3
"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",4
"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",4
MUITO BOM! CHEGOU DENTRO DO PRAZO.,2
"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",2
"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",1
só poderia entregar mais rápido fim de ano ,0
"Otima Venda, tudo perfeito.",0
Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,2
"Veio bem embalado, Envio rápido! ",0
Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,2
"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",1
"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",4
Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,2
Indico a loja compro sempre na lannister .,0
"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",4
"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",0
Boa compra.,0
"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",0
Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,4
Comprei 02 só enviaram 01,3
"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",4
"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",1
Entrega e produto perfeito!,2
Parabéns 😤 pelo excelente atendimento de qualidade.,0
Produto entregue antecipadamente.,2
gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,2
"Super recomendo, stark Sempre chegando antes da dta prevista =D",2
Correios não entregou ,3
"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",2
ainda não recebi o produto,3
"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",1
"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",2
"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",3
O pedido chegou antes do prazo. Obrigada.,2
Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,1
"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",0
O tampo da mesa chegou todo amassado e batido.,0
Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,0
O relógio é lindo e a entrega foi muito rápida. Recomendo!,0
"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",4
"Como sempre, excelente serviço.",0
Até o momento eu n recebir o produto,3
Como sempre lannister entrega certinho,0
"Produto perfeito, chegou antes do prazo!",2
"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",0
Muito bom o produto e preço cobrado!,4
Sdds ,0
muito bom o produto.Recomendo,0
entrega dentro do prazo isso é importante. ,2
"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",4
"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",0
O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,4
No aguardo de um retorno urgente.,1
"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",1
Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. ,3
Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,0
Excelente produto indico a qualquer pessoa.,0
tudo certinho entrega no prazo ótimo.,2
Não recebi o produto.e agora?,1
Chegou amassado... ,0
Recomendo!,0
"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",3
Ótimo perfume. Fragrância maravilhosa. Recomendo,0
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,3
O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,0
entrega rapida,0
"Previsão de entrega até 18/10, recebi em 05/10, excelente.",2
"Cortina de plástico, na foto parece tecido desenho diferente cores morta apagadas, uma verdadeira porcaria, não recomendo ninguém compra decepção total ",4
SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,3
Loja em si é boa pena a americana nao da suporte ao cliente ,4
Exatamente o que eu precisava ,0
"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",4
"Obrigada, chegou mto rápido",0
O único problema é que a marcação de data é a marcação americana.,4
Acho que o produto deveria ter um prazo de validade maior.,4
"Entrega antes do prazo, recomendo essa loja.",2
show ,0
Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada ,3
"Excelente produto, bonito e sofisticado.",0
Não veio a nota fiscal,3
"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",0
Entrega rápida produto conforme anunciado,0
"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",1
A cortina não é o modelo que pedi. |,4
A impressão está saindo com a tinta fraquinha...,0
Comprei Rosa com Braços Brancos e entregam toda Preta ?,4
Preciso de uma previsão.,0
Estou muito satisfeita chegou antes do prazo super recomendo ,2
Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,2
"Entrega dentro do prazo, produto sem nenhum problema",2
bom,0
Boa qualidade e preço.,0
Sempre entrega antes do prazo.,2
muito bom.super recomendo.entrega sempre certa.,0
"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???",3
Entregue antes do prazo! Produto perfeito!,2
"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",3
Gostei de ter comprado nesta loja. Atendimento perfeito.,0
"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem.",4
Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,2
ENTREGA MUITO RAPIDA ,0
O produto foi entregue bem antes do prazo.adorei,2
Ainda nao instalei mais gostei muito,3
Bom produto. Entrega rápida. Recomendo,0
Produto recebido no prazo e em perfeitas condições.,2
muito bom,0
"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",1
"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates
",4
N/a,0
"O produto chegou como eu imaginava,por enquanto estou gostando
",0
Ótima rápida na entrega OBRIGADO ,0
Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,3
"Produto bom, prazo bom...",0
Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,3
Bonito e de boa qualidade. Adorei ,0
O produto chegou antes do prazo. ,2
"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",3
Vendedor compromisso do vou o cliente,3
"O produto não atendeu minhas espectativas, pois os potinhos são dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem",3
Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,3
ótimo,0
Tudo cento e no prazo recomento,2
Não recebi o jogo na cor tabaco. Só o vermelho. ,4
"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",3
Compra perfeita. ,0
O produto veio estragado,0
"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",3
PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,3
"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas. ",4
Estou extremamente decepcionado. Isso nunca havia acontecido,3
COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,3
"Recomendo esta loja entrega direitinho
",0
"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",4
Entrega rapida e correta,0
Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,0
Produto veio com amassados e também não está funcionando corretamente.,4
Gostei do produto,0
Produto de ótima qualidade,0
Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,1
Estou aguardando posição da empresa para fazer a devolução do produto.,3
"O CEP foi escrito errado, tive que retirar o produto nos Correios da cidade vizinha.",4
fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,3
Recomendo está loja.,0
Ótimo produto. ,0
Excelente,0
"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",3
"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",4
"bom , foi o que esperava.",0
"Tudo correu como combinado, nada a reclamar.",3
"De fácil manuseio, até o presente atende as expectativas. ",0
Relógio lindo entrega antes do prazo,0
Veio conforme o anunciado simples mais bonita. ,0
Produto condiz com o anúncio ,0
O produto ainda não chegou,3
satisfeito eu recomendo,0
"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",0
Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,4
Ainda não recebi o produto...,3
"Recebi, a bolsa é diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo ",4
"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",2
"Na propaganda está escrito Mixer elétrico e veio um portátil que eu tenho três que quebrou por isso eu queria um elétrico, vocês devem especificar melhor os produtos ",4
Produto entregue antes do prazo combinado. Não é a primeira vez que compro pelo site Lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.,3
Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa ! ,3
Agradeço muito bom.,0
*******************,0
Dentro do previsto,2
Recebi antes do prazo estimado.,2
Só imaginei que fosse maior a boneca. Mais é legal ,4
"Tive problema na entrega, pois não tinha ninguém em casa para receber a mercadoria no horário que passaram.",1
"Atenciosos,ligam para dar acompanhamento. Bom prazo de validade. Demorou de chegar. Agora é verificar a qualidade do produto.",3
Muito eficiente entregou bem rápido eu recomendo,0
Muito lindo o Relógio!,0
Otimo produto e entrega no prazo,2
"Chegou antes da data do prazo, porem vazou um pouco do produto! ",2
"Sempre que compro com vocês meus itens chega em perfeito estado....
",0
Produto entregue antes do prazo em ótimo estado.,2
